name,rating,rating_amt,open_hr,delivery_hr,price_scale,seat_amt,check_in,bookmarked,car_park,wi_fi,pet_allows,card_accept,delivery,for_kids,for_group,chang_khlan,chang_moi,chang_phueak,chom_thong,fa_ham,fang,hang_dong,huai_sai,huai_kaew,mae_hia,mae_rim,mae_taeng,mae_on,mueang_chiang_mai,nong_hoi,nong_pa_khrang,pa_daet,san_kamphaeng,san_klang,san_sai,saraphi,sri_phum,suthep,tha_sala,tha_wang_tan,ton_pao,chiang_mai_business_park,nimmanhaemin,san_pa_tong,charoenrat_rd,wiang_bua_rd,ratchaphruek_rd,prapokkloa_rd,rajavithi_rd,chotana_rd,sirimangkalachan_rd,bread,croissant,baguette,pastry,cake,cupcake,muffin,donut,cookie,brownie,pie,pretzel,scone,roll,bun,danish,tart,macaron,cinnamon_roll,cheesecake,biscuit,pain_au_chocolat,pita_bread,quiche,brioche,pita,delicious,fresh,fragrant,soft,inexpensive,good_atmosphere,good_service,affordable,good_quality,good_manner,warm,tasty,authentic,enjoyable,clean,attentive,lovely,beautiful,adorable,worth,recommended,reasonable_price,nice_looking,not_tasty,not_fresh,not_fragrant,tough,expensive,terrible_atmosphere,bad_service,bad_quality,dirty,inattentive,unlovely,ugly,not_cute,not_worth,not_recommend
Charin Pie (จริณพาย),4,142,09:00 - 19:00,09:00 - 18:30,1,80,0,0,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610278198,0.06102782,0.152569549,0.213597369,0.03051391,0.213597369,0.12205564,0,0.03051391,0,0.09154173,0,0,0.03051391,0,0.366166919,0.09154173,0.03051391,0,0.579764288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06102782,0,0,0,0
Pizza Plus (พิซซ่า พลัส),4.6,29,11:30 - 21:30,11:30 - 21:00,2,40,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895771858,0.179154372,0.201548668,0.044788593,0.022394296,0.111971482,0.089577186,0,0.022394296,0,0.044788593,0.067182889,0,0,0.044788593,0.156760075,0.067182889,0.111971482,0,0.223942965,0.022394296,0,0.022394296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bar Cha - Matcha and Bakery バーチャ,4.1,7,08:00 - 17:30,,2,40,0,0,TRUE,TRUE,,,TRUE,,,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685994341,0,0.34299717,0.171498585,0,0.514495755,0,0,0,0,0.171498585,0,0,0,0,0.171498585,0.171498585,0,0,0.171498585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarrotCoffee,4.1,11,08:00 - 18:00,08:30 - 17:00,2,150,0,0,TRUE,TRUE,,FALSE,TRUE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591197567,0.098532928,0.295598783,0,0,0.197065856,0,0,0,0,0,0,0,0,0,0.492664639,0.492664639,0.098532928,0,0.098532928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098532928,0,0,0,0
Fernpresso Cafe (เฟิร์นเพรสโซ่),4.1,141,09:30 - 18:30,,2,80,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528331981,0.449082184,0.211332793,0.079249797,0,0.422665585,0.132082995,0,0.052833198,0.026416599,0,0,0.026416599,0,0.026416599,0.396248986,0.316999189,0.052833198,0,0.079249797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026416599,0,0,0,0
"Rilak Cafe""",4.1,59,11:00 - 18:00,,2,N/A,38,303,,,,,TRUE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0.643519733,0.102378139,0.117003588,0.102378139,0.029250897,0.263258073,0.131629036,0,0.029250897,0.014625448,0.014625448,0.014625448,0,0.014625448,0,0.263258073,0.073127242,0.614268836,0.014625448,0.073127242,0,0,0.029250897,0,0,0,0,0,0,0.014625448,0,0,0,0.058501794,0,0,0,0
Tasty Herb (ร้านแยมโฮมเมด),4.4,9,09:00 - 17:00,09:00 - 17:00,2,N/A,0,0,TRUE,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52999894,0,0.52999894,0.211999576,0,0,0.105999788,0,0.317999364,0,0,0,0,0,0,0.317999364,0.211999576,0.317999364,0,0.105999788,0,0.105999788,0,0.105999788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast Smoothies บลาสต์ สมูทตี้ (บลาสต์ สมูทตี้),4.7,28,10:00 - 20:30,10:00 - 20:30,1,10,0,0,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670820393,0.475164445,0.363361046,0,0,0,0.02795085,0,0,0,0,0,0,0.111803399,0,0.391311896,0.055901699,0.055901699,0,0.139754249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charm Bakery,4.1,12,08:00 - 18:00,,2,150,8,70,TRUE,TRUE,,TRUE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569494797,0,0.0949158,0.189831599,0.189831599,0.379663198,0.474578998,0.0949158,0,0.0949158,0,0,0,0,0,0.0949158,0.0949158,0.379663198,0,0.189831599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949158,0,0,0,0
Once in a Blue Moon Cafe & Hostel,4.2,18,08:00 - 17:00,07:00 - 17:00,2,N/A,0,0,TRUE,TRUE,,,TRUE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61177529,0.076471911,0.229415734,0,0.076471911,0.076471911,0.076471911,0,0.076471911,0,0.076471911,0,0,0.076471911,0,0.61177529,0.076471911,0.305887645,0.076471911,0.229415734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
